asd,name,year,properties,nonCurrentLiabilities,currentLiabbilities,equities,fullPrice,priceNextYear
8957,ROBYG,2005,12126,520,1723,30845,9262800.0,6026400.0
4799,SFINKS,2007,16086,610,2677,41013,4073400.0,618163200.0
1351,CERSANIT,2017,74142,659,9388,148860,9377600.0,25500.0
1146,NETIA,2007,16086,610,2677,41013,4073400.0,618163200.0
2075,SOKOLOW,2013,62308,673,14845,119491,119939300.0,911300.0
10142,LGPETRO,2007,16086,610,2677,41013,4073400.0,618163200.0
6679,WITTCHEN,2015,68095,661,7154,130446,2932000.0,313200.0
10054,GPRD,2010,32046,1038,5461,80418,1159200.0,857700.0
3176,SYNTHOS,2009,23851,1089,4068,69283,1168500.0,1159200.0
3929,CENTKLIMA,2008,24380,865,9160,48498,618163200.0,1168500.0
5850,11BIT,2005,12126,520,1723,30845,9262800.0,6026400.0
6392,WADEX,2014,68630,687,10513,119065,911300.0,2932000.0
2720,WISTIL,2008,24380,865,9160,48498,618163200.0,1168500.0
3766,NEPENTES,2014,68630,687,10513,119065,911300.0,2932000.0
7568,ENERGA,2007,16086,610,2677,41013,4073400.0,618163200.0
9476,SZEPTEL,2017,74142,659,9388,148860,9377600.0,25500.0
10387,FAMOT,2005,12126,520,1723,30845,9262800.0,6026400.0
1205,ZREW,2014,68630,687,10513,119065,911300.0,2932000.0
6673,WITTCHEN,2009,23851,1089,4068,69283,1168500.0,1159200.0
2452,IRENA,2013,62308,673,14845,119491,119939300.0,911300.0
407,INTERIA.PL,2009,23851,1089,4068,69283,1168500.0,1159200.0
8626,OPENFIN,2012,41583,738,13688,106601,140200.0,119939300.0
1567,PGF,2012,41583,738,13688,106601,140200.0,119939300.0
1561,PGF,2006,12720,624,1914,37316,6026400.0,4073400.0
4220,LENA,2013,62308,673,14845,119491,119939300.0,911300.0
1258,HANDLOWY,2015,68095,661,7154,130446,2932000.0,313200.0
3134,LCCORP,2006,12720,624,1914,37316,6026400.0,4073400.0
497,FORTISPL,2008,24380,865,9160,48498,618163200.0,1168500.0
208,KGHM,2005,12126,520,1723,30845,9262800.0,6026400.0
5896,PROVIDENT,2012,41583,738,13688,106601,140200.0,119939300.0
8377,PRIMETECH,2010,32046,1038,5461,80418,1159200.0,857700.0
5363,PRONOX,2012,41583,738,13688,106601,140200.0,119939300.0
4802,SFINKS,2010,32046,1038,5461,80418,1159200.0,857700.0
7572,ENERGA,2011,35340,817,11266,94012,857700.0,140200.0
10626,GREENECO,2010,32046,1038,5461,80418,1159200.0,857700.0
8195,GLCOSMED,2010,32046,1038,5461,80418,1159200.0,857700.0
8070,ATREM,2015,68095,661,7154,130446,2932000.0,313200.0
223,ENERGOPOL,2007,16086,610,2677,41013,4073400.0,618163200.0
9414,INVENTUM,2007,16086,610,2677,41013,4073400.0,618163200.0
10294,MOSTALGD,2016,74044,751,10353,143526,313200.0,9377600.0
365,ECHO,2006,12720,624,1914,37316,6026400.0,4073400.0
1803,ALMA,2014,68630,687,10513,119065,911300.0,2932000.0
9729,UNIWHEELS,2010,32046,1038,5461,80418,1159200.0,857700.0
3973,IVMX,2013,62308,673,14845,119491,119939300.0,911300.0
3359,IDMSA,2010,32046,1038,5461,80418,1159200.0,857700.0
1230,JCAUTO,2013,62308,673,14845,119491,119939300.0,911300.0
4131,NOVITUS,2015,68095,661,7154,130446,2932000.0,313200.0
514,02NFI,2012,41583,738,13688,106601,140200.0,119939300.0
1228,JCAUTO,2011,35340,817,11266,94012,857700.0,140200.0
8502,AWBUD,2005,12126,520,1723,30845,9262800.0,6026400.0
5038,PANOVA,2012,41583,738,13688,106601,140200.0,119939300.0
4510,INTERSPPL,2017,74142,659,9388,148860,9377600.0,25500.0
2694,13FORTUNA,2008,24380,865,9160,48498,618163200.0,1168500.0
431,TUEUROPA,2007,16086,610,2677,41013,4073400.0,618163200.0
7799,IFSA,2017,74142,659,9388,148860,9377600.0,25500.0
8965,ROBYG,2013,62308,673,14845,119491,119939300.0,911300.0
5526,BALTONA,2006,12720,624,1914,37316,6026400.0,4073400.0
2327,ELDORADO,2005,12126,520,1723,30845,9262800.0,6026400.0
2868,IMMOEAST,2013,62308,673,14845,119491,119939300.0,911300.0
3865,RAINBOW,2009,23851,1089,4068,69283,1168500.0,1159200.0
3797,NOBLEBANK,2006,12720,624,1914,37316,6026400.0,4073400.0
5658,CFI,2008,24380,865,9160,48498,618163200.0,1168500.0
2608,HYDROBUD,2013,62308,673,14845,119491,119939300.0,911300.0
3988,ENERGOINS,2015,68095,661,7154,130446,2932000.0,313200.0
278,SIMPLE,2010,32046,1038,5461,80418,1159200.0,857700.0
5836,4FUNMEDIA,2017,74142,659,9388,148860,9377600.0,25500.0
10018,INPOST,2013,62308,673,14845,119491,119939300.0,911300.0
4688,KAREN,2013,62308,673,14845,119491,119939300.0,911300.0
3341,AZOTYTARNOW,2005,12126,520,1723,30845,9262800.0,6026400.0
4914,ZREMB,2005,12126,520,1723,30845,9262800.0,6026400.0
4818,INTROL,2013,62308,673,14845,119491,119939300.0,911300.0
1123,BACA,2010,32046,1038,5461,80418,1159200.0,857700.0
8575,MBWS,2013,62308,673,14845,119491,119939300.0,911300.0
946,ELBUDOWA,2015,68095,661,7154,130446,2932000.0,313200.0
1077,HOOP,2016,74044,751,10353,143526,313200.0,9377600.0
9376,TELEPOLSKA,2008,24380,865,9160,48498,618163200.0,1168500.0
2169,STALPROFI,2016,74044,751,10353,143526,313200.0,9377600.0
5318,CPENERGIA,2006,12720,624,1914,37316,6026400.0,4073400.0
1761,WOLCZANKA,2011,35340,817,11266,94012,857700.0,140200.0
592,KOGENERA,2012,41583,738,13688,106601,140200.0,119939300.0
8068,ATREM,2013,62308,673,14845,119491,119939300.0,911300.0
8115,REGNON,2008,24380,865,9160,48498,618163200.0,1168500.0
2803,LENTEX,2013,62308,673,14845,119491,119939300.0,911300.0
4653,TETA,2017,74142,659,9388,148860,9377600.0,25500.0
4331,NORTCOAST,2007,16086,610,2677,41013,4073400.0,618163200.0
2713,JUPITER,2014,68630,687,10513,119065,911300.0,2932000.0
9336,SMT,2007,16086,610,2677,41013,4073400.0,618163200.0
6432,NEUCA,2015,68095,661,7154,130446,2932000.0,313200.0
3483,ERBUD,2017,74142,659,9388,148860,9377600.0,25500.0
1275,AGORA,2006,12720,624,1914,37316,6026400.0,4073400.0
10279,PIASECKI,2014,68630,687,10513,119065,911300.0,2932000.0
2186,COMPLAND,2007,16086,610,2677,41013,4073400.0,618163200.0
9535,DBPBC,2011,35340,817,11266,94012,857700.0,140200.0
9900,BPHPBK,2012,41583,738,13688,106601,140200.0,119939300.0
4045,ZELMER,2007,16086,610,2677,41013,4073400.0,618163200.0
4770,POLICE,2017,74142,659,9388,148860,9377600.0,25500.0
3482,ERBUD,2016,74044,751,10353,143526,313200.0,9377600.0
2344,MUZA,2009,23851,1089,4068,69283,1168500.0,1159200.0
5144,GFPREMIUM,2014,68630,687,10513,119065,911300.0,2932000.0
757,INGBSK,2008,24380,865,9160,48498,618163200.0,1168500.0
6849,PCCROKITA,2016,74044,751,10353,143526,313200.0,9377600.0
2943,DRAGOWSKI,2010,32046,1038,5461,80418,1159200.0,857700.0
5974,KRKA,2012,41583,738,13688,106601,140200.0,119939300.0
4403,BBIDEVNFI,2014,68630,687,10513,119065,911300.0,2932000.0
2786,DROZAPOL,2009,23851,1089,4068,69283,1168500.0,1159200.0
3921,KPPD,2013,62308,673,14845,119491,119939300.0,911300.0
1266,MOSTALWAR,2010,32046,1038,5461,80418,1159200.0,857700.0
2691,13FORTUNA,2005,12126,520,1723,30845,9262800.0,6026400.0
7782,MERCATOR,2013,62308,673,14845,119491,119939300.0,911300.0
9340,SMT,2011,35340,817,11266,94012,857700.0,140200.0
7007,R22,2005,12126,520,1723,30845,9262800.0,6026400.0
9527,TONSIL,2016,74044,751,10353,143526,313200.0,9377600.0
7385,KANIA,2006,12720,624,1914,37316,6026400.0,4073400.0
6126,EDINVEST,2008,24380,865,9160,48498,618163200.0,1168500.0
341,PEPEES,2008,24380,865,9160,48498,618163200.0,1168500.0
2536,UNIMIL,2006,12720,624,1914,37316,6026400.0,4073400.0
7029,PKPCARGO,2014,68630,687,10513,119065,911300.0,2932000.0
2674,AMICA,2014,68630,687,10513,119065,911300.0,2932000.0
5633,TSGAMES,2009,23851,1089,4068,69283,1168500.0,1159200.0
3448,ORZBIALY,2008,24380,865,9160,48498,618163200.0,1168500.0
219,KGHM,2016,74044,751,10353,143526,313200.0,9377600.0
7755,SERINUS,2012,41583,738,13688,106601,140200.0,119939300.0
3948,UNIMA,2014,68630,687,10513,119065,911300.0,2932000.0
1911,FON,2005,12126,520,1723,30845,9262800.0,6026400.0
5857,11BIT,2012,41583,738,13688,106601,140200.0,119939300.0
10500,PPLHOLD,2014,68630,687,10513,119065,911300.0,2932000.0
10572,POLYMETAL,2008,24380,865,9160,48498,618163200.0,1168500.0
6948,ORANGEPL,2011,35340,817,11266,94012,857700.0,140200.0
8187,TOWERINVT,2015,68095,661,7154,130446,2932000.0,313200.0
8292,QUERCUS,2016,74044,751,10353,143526,313200.0,9377600.0
8014,ZEPAK,2011,35340,817,11266,94012,857700.0,140200.0
7977,KCI,2013,62308,673,14845,119491,119939300.0,911300.0
2640,GROCLIN,2006,12720,624,1914,37316,6026400.0,4073400.0
8978,COLIAN,2013,62308,673,14845,119491,119939300.0,911300.0
4354,INTERFERI,2017,74142,659,9388,148860,9377600.0,25500.0
8496,IZOBLOK,2012,41583,738,13688,106601,140200.0,119939300.0
9228,WDMCP,2016,74044,751,10353,143526,313200.0,9377600.0
3443,ARTERIA,2016,74044,751,10353,143526,313200.0,9377600.0
866,KOPEX,2013,62308,673,14845,119491,119939300.0,911300.0
8750,TXM,2006,12720,624,1914,37316,6026400.0,4073400.0
9631,ZTSERG,2016,74044,751,10353,143526,313200.0,9377600.0
1174,08OCTAVA,2009,23851,1089,4068,69283,1168500.0,1159200.0
491,BEST,2015,68095,661,7154,130446,2932000.0,313200.0
6444,ASSECOSEE,2014,68630,687,10513,119065,911300.0,2932000.0
7031,PKPCARGO,2016,74044,751,10353,143526,313200.0,9377600.0
2143,CSS,2016,74044,751,10353,143526,313200.0,9377600.0
1826,ATMGRUPA,2011,35340,817,11266,94012,857700.0,140200.0
2634,ELKOP,2013,62308,673,14845,119491,119939300.0,911300.0
8445,BRASTER,2013,62308,673,14845,119491,119939300.0,911300.0
1543,06MAGNA,2014,68630,687,10513,119065,911300.0,2932000.0
2544,UNIMIL,2014,68630,687,10513,119065,911300.0,2932000.0
9901,BPHPBK,2013,62308,673,14845,119491,119939300.0,911300.0
7122,PATENTUS,2016,74044,751,10353,143526,313200.0,9377600.0
6226,JJAUTO,2017,74142,659,9388,148860,9377600.0,25500.0
1529,PKOBP,2013,62308,673,14845,119491,119939300.0,911300.0
6639,HERKULES,2014,68630,687,10513,119065,911300.0,2932000.0
5017,NETMEDIA,2017,74142,659,9388,148860,9377600.0,25500.0
4156,KONSSTALI,2014,68630,687,10513,119065,911300.0,2932000.0
2100,MIESZKO,2012,41583,738,13688,106601,140200.0,119939300.0
3945,UNIMA,2011,35340,817,11266,94012,857700.0,140200.0
3067,CORMAY,2017,74142,659,9388,148860,9377600.0,25500.0
7341,INC,2014,68630,687,10513,119065,911300.0,2932000.0
3570,BARLINEK,2013,62308,673,14845,119491,119939300.0,911300.0
4737,TRAKCJA,2010,32046,1038,5461,80418,1159200.0,857700.0
